SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT
NZ_CP092646_1,216067,216912,+,aadA16,1-846/846,===============,0/0,100,99.64,card,EU675686.2:3196-4042,aadA16 is an aminoglycoside nucleotidyltransferase gene encoded by plasmids and integrons in E. coli V. cholerae and K. pneumoniae.
NZ_CP092646_1,217029,217376,+,qacEdelta1,1-348/348,===============,0/0,100,100,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
NZ_CP092646_1,217370,218209,+,sul1,1-840/840,===============,0/0,100,99.76,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
NZ_CP092646_1,224412,225650,-,Mrx,1-1239/1239,===============,0/0,100,100,card,AY522923.1:8983-7744,Mrx is part of the macrolide inactivation gene cluster in Aeromonas hydrophila.
NZ_CP092646_1,225647,226552,-,mphA,1-906/906,===============,0/0,100,100,card,D16251.1:2531-1625,The mphA gene encodes for resistance enzyme MPH(2')-I which preferentially inactivate 14-membered macrolides (e.g.erythromycin telithromycin roxithromycin) over 16-membered macrolides (e.g.tylosin spiramycin). It phosphorylates macrolides at 2'-OH hydroxyl of desosamine sugar of macrolides in a GTP-dependent manner.
NZ_CP092646_1,229257,229622,-,BRP(MBL),1-366/366,===============,0/0,100,100,card,KC503911.1:9883-10249,A novel bleomycin resistance protein encoded by a metallo-beta-lactamase-associated ble gene. Expression of BRP(MBL) confers resistance to bleomycin and bleomycin-like antibiotics in Enterobacteriaceae and Acinetobacter where it is co-expressed with an MBL and controlled by the same promoter region.
NZ_CP092646_1,229626,230434,-,NDM-16b,1-813/813,========/======,3/4,99.51,99.51,card,AP024206.1:10624-9811,New Delhi class B metallo-beta-lactamase 16b variant.
NZ_CP092646_1,237146,238382,-,Mrx,1-1239/1239,========/======,1/2,99.84,99.84,card,AY522923.1:8983-7744,Mrx is part of the macrolide inactivation gene cluster in Aeromonas hydrophila.
NZ_CP092646_1,238379,239284,-,mphA,1-906/906,===============,0/0,100,99.89,card,D16251.1:2531-1625,The mphA gene encodes for resistance enzyme MPH(2')-I which preferentially inactivate 14-membered macrolides (e.g.erythromycin telithromycin roxithromycin) over 16-membered macrolides (e.g.tylosin spiramycin). It phosphorylates macrolides at 2'-OH hydroxyl of desosamine sugar of macrolides in a GTP-dependent manner.
NZ_CP092646_1,241988,242353,-,BRP(MBL),1-366/366,===============,0/0,100,100,card,KC503911.1:9883-10249,A novel bleomycin resistance protein encoded by a metallo-beta-lactamase-associated ble gene. Expression of BRP(MBL) confers resistance to bleomycin and bleomycin-like antibiotics in Enterobacteriaceae and Acinetobacter where it is co-expressed with an MBL and controlled by the same promoter region.
NZ_CP092646_1,242357,243169,-,NDM-5,1-813/813,===============,0/0,100,100,card,JN104597.1:114-927,New Delhi beta-lactamase NDM-5.
NZ_CP092646_1,249880,251110,-,Mrx,1-1239/1239,========/======,5/8,99.35,99.19,card,AY522923.1:8983-7744,Mrx is part of the macrolide inactivation gene cluster in Aeromonas hydrophila.
NZ_CP092646_1,251107,252010,-,mphA,1-906/906,========/======,2/2,99.78,99.67,card,D16251.1:2531-1625,The mphA gene encodes for resistance enzyme MPH(2')-I which preferentially inactivate 14-membered macrolides (e.g.erythromycin telithromycin roxithromycin) over 16-membered macrolides (e.g.tylosin spiramycin). It phosphorylates macrolides at 2'-OH hydroxyl of desosamine sugar of macrolides in a GTP-dependent manner.
NZ_CP092646_1,254708,255069,-,BRP(MBL),1-366/366,========/======,4/4,98.91,98.91,card,KC503911.1:9883-10249,A novel bleomycin resistance protein encoded by a metallo-beta-lactamase-associated ble gene. Expression of BRP(MBL) confers resistance to bleomycin and bleomycin-like antibiotics in Enterobacteriaceae and Acinetobacter where it is co-expressed with an MBL and controlled by the same promoter region.
NZ_CP092646_1,255073,255882,-,NDM-16b,1-813/813,========/======,6/7,99.38,99.02,card,AP024206.1:10624-9811,New Delhi class B metallo-beta-lactamase 16b variant.
NZ_CP093284_1,126057,126530,+,dfrA17,1-474/474,===============,0/0,100,100,card,DQ838665.1:0-474,dfrA17 is an integron-encoded dihydrofolate reductase found in Escherichia coli.
NZ_CP093284_1,126661,127449,+,aadA5,1-789/789,===============,0/0,100,100,card,AF137361.1:63-852,aadA5 is an aminoglycoside nucleotidyltransferase gene encoded by plasmids transposons and integrons in E. coli K. pneumoniae Kluyvera georgiana P. aeruginosa and E. cloacae.
NZ_CP093284_1,129851,130666,+,sul2,1-816/816,===============,0/0,100,99.88,card,AY055428.1:21084-20268,Sul2 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria usually found on small plasmids.
NZ_CP093284_1,133169,134383,-,floR,1-1215/1215,===============,0/0,100,99.75,card,AF231986.2:3307-4522,floR is a plasmid or chromosome-encoded chloramphenicol exporter that is found in Bordetella bronchiseptica Escherichia coli Klebsiella pneumoniae Salmonella enterica subsp. enterica serovar Typhimurium str. DT104 and Vibrio cholerae.
NZ_CP093284_1,138678,139479,-,AAC(6')-Ib7,1-786/786,========/======,1/16,100,98,card,KR091911.1:75350-74564,AAC(6')-Ib7 is a plasmid-encoded aminoglycoside acetyltransferase in E. cloacae and C. freundii.
NZ_CP093284_1,190546,191269,+,aadA2,57-780/780,.==============,0/0,92.82,99.86,card,AF156486.1:5012-5792,aadA2 is an aminoglycoside nucleotidyltransferase gene encoded by plasmids and integrons in K. pneumoniae Salmonella spp. Corynebacterium glutamicum C. freundii and Aeromonas spp.
NZ_CP093284_1,191433,191780,+,qacEdelta1,1-348/348,===============,0/0,100,100,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
NZ_CP093284_1,191774,192613,+,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
NZ_CP093284_1,195152,195907,-,rmtB,1-756/756,===============,0/0,100,100,card,AM886293.1:116479-117235,RmtB is a 16S rRNA methyltransferase that targets mature or nearly mature 30S subunits. It transfers a methyl group from S-adenosyl-L-methionine to N7-G1405 of the 16S rRNA an aminoglycoside binding site.
NZ_CP093284_1,196077,196937,-,TEM-1,1-861/861,===============,0/0,100,99.88,card,AL513383.1:161910-162771,TEM-1 is a broad-spectrum beta-lactamase found in many Gram-negative bacteria. Confers resistance to penicillins and first generation cephalosphorins.
NZ_CP093284_1,200908,201324,-,FosA3,1-417/417,===============,0/0,100,100,card,JF411006.1:951-1368,An enzyme that confers resistance to fosfomycin in Escherichia coli by breaking the epoxide ring of the molecule. It depends on the cofactors Manganese (II) and Potassium and uses Glutathione (GSH) as the nucleophilic molecule.
NZ_CP093284_1,203545,204420,-,CTX-M-64,1-876/876,===============,0/0,100,100,card,AB284167.2:225-1101,CTX-M-64 is a beta-lactamase found in Shigella sonnei.
NZ_CP093404_1,46384,47199,-,APH(3')-Ia,1-816/816,===============,0/0,100,99.14,card,BX664015.1:103833-103017,APH(3')-Ia is a transposon-encoded aminoglycoside phosphotransferase in E. coli and S. enterica. It is identical at the protein sequence to APH(3')-Ic an aminoglycoside phosphotransferase encoded by plasmids transposons and genomic islands in K. pneumoniae A. baumannii S. marcescens Corynebacterium spp. Photobacterium spp. and Citrobacter spp.
NZ_CP093404_1,53881,54234,+,ramA,21-375/375,========/======,1/1,94.4,80.56,card,JQ727668.1:0-375,RamA (resistance antibiotic multiple) is a positive regulator of AcrAB-TolC and leads to high level multidrug resistance in Klebsiella pneumoniae Salmonella enterica and Enterobacter aerugenes increasing the expression of both the mar operon as well as AcrAB. RamA also decreases OmpF expression.
NZ_CP093404_1,63523,64737,+,floR,1-1215/1215,===============,0/0,100,99.83,card,AF231986.2:3307-4522,floR is a plasmid or chromosome-encoded chloramphenicol exporter that is found in Bordetella bronchiseptica Escherichia coli Klebsiella pneumoniae Salmonella enterica subsp. enterica serovar Typhimurium str. DT104 and Vibrio cholerae.
NZ_CP093404_1,69160,70406,+,tet(A),1-1247/1275,===============,0/0,97.8,99.92,card,AF534183.1:2970-4245,TetA is a tetracycline efflux pump found in many species of Gram-negative bacteria.
NZ_CP093404_1,87057,87848,-,sul3,1-792/792,===============,0/0,100,100,card,FJ196385.1:9323-8531,Sul3 is a sulfonamide resistant dihydropteroate synthase similar to Sul1 and Sul2. Its resistance gene was found encoded in E. coli plasmid DNA of sulfonamide resistant isolates.
NZ_CP093404_1,90778,91599,-,linG,1-822/822,===============,0/0,100,99.88,card,DQ836009.1:1309-2131,linG is an integron-associated gene cassette with aadA2 encoding a lincosomide nucleotidyltransferase found in Salmonella enterica. linG confers resistance to lincosomide antibiotics.
NZ_CP093404_1,91731,92522,-,aadA22,1-792/792,===============,0/0,100,100,card,AM261837.1:73-865,aadA22 is an aminoglycoside nucleotidyltransferase gene encoded by plasmids and integrons in S. enterica and E. coli.
NZ_CP093404_1,96919,97779,-,AAC(3)-IId,1-861/861,===============,0/0,100,99.88,card,EU022314.1:0-861,AAC(3)-IId is a plasmid-encoded aminoglycoside acetyltransferase in E. coli.
NZ_CP093404_1,99883,100740,-,LAP-2,1-858/858,===============,0/0,100,100,card,EU159120.1:0-858,LAP-2 is an Ambler Class A beta-lactamase gene.
NZ_CP093404_1,102944,103804,-,TEM-1,1-861/861,===============,0/0,100,99.88,card,AL513383.1:161910-162771,TEM-1 is a broad-spectrum beta-lactamase found in many Gram-negative bacteria. Confers resistance to penicillins and first generation cephalosphorins.
NZ_CP093404_1,107826,108701,+,CTX-M-55,1-876/876,===============,0/0,100,100,card,DQ885477.1:0-876,CTX-M-55 is a beta-lactamase found in the Enterobacteriaceae family.
NZ_CP093404_1,113342,113998,+,QnrS1,1-657/657,===============,0/0,100,99.85,card,DQ485529.1:0-657,QnrS1 is a plasmid-mediated quinolone resistance protein found in Shigella flexneri.
NZ_CP093404_1,118993,119445,-,arr-2,1-453/453,===============,0/0,100,100,card,AF078527.1:4387-4840,arr-2 is an integron-encoded ribosyltransferase found in Pseudomonas aeruginosa.
NZ_CP093404_1,119556,120029,-,dfrA14,1-474/474,===============,0/0,100,100,card,KF921535.1:617-1091,dfrA14 is an integron-encoded dihydrofolate reductase found in Escherichia coli.
NZ_CP095166_1,94133,94948,-,APH(3')-Ia,1-816/816,===============,0/0,100,99.14,card,BX664015.1:103833-103017,APH(3')-Ia is a transposon-encoded aminoglycoside phosphotransferase in E. coli and S. enterica. It is identical at the protein sequence to APH(3')-Ic an aminoglycoside phosphotransferase encoded by plasmids transposons and genomic islands in K. pneumoniae A. baumannii S. marcescens Corynebacterium spp. Photobacterium spp. and Citrobacter spp.
NZ_CP095166_1,104294,104647,+,ramA,21-375/375,========/======,1/1,94.4,80.56,card,JQ727668.1:0-375,RamA (resistance antibiotic multiple) is a positive regulator of AcrAB-TolC and leads to high level multidrug resistance in Klebsiella pneumoniae Salmonella enterica and Enterobacter aerugenes increasing the expression of both the mar operon as well as AcrAB. RamA also decreases OmpF expression.
NZ_CP095166_1,113936,115150,+,floR,1-1215/1215,===============,0/0,100,99.83,card,AF231986.2:3307-4522,floR is a plasmid or chromosome-encoded chloramphenicol exporter that is found in Bordetella bronchiseptica Escherichia coli Klebsiella pneumoniae Salmonella enterica subsp. enterica serovar Typhimurium str. DT104 and Vibrio cholerae.
NZ_CP095166_1,117202,118038,+,APH(6)-Id,1-837/837,===============,0/0,100,99.88,card,AF024602.1:3155-3992,APH(6)-Id is an aminoglycoside phosphotransferase encoded by plasmids integrative conjugative elements and chromosomal genomic islands in K. pneumoniae Salmonella spp. E. coli Shigella flexneri Providencia alcalifaciens Pseudomonas spp. V. cholerae Edwardsiella tarda Pasteurella multocida and Aeromonas bestiarum.
NZ_CP095166_1,119309,120555,+,tet(A),1-1247/1275,===============,0/0,97.8,100,card,AF534183.1:2970-4245,TetA is a tetracycline efflux pump found in many species of Gram-negative bacteria.
NZ_CP095166_1,137206,137997,-,sul3,1-792/792,===============,0/0,100,100,card,FJ196385.1:9323-8531,Sul3 is a sulfonamide resistant dihydropteroate synthase similar to Sul1 and Sul2. Its resistance gene was found encoded in E. coli plasmid DNA of sulfonamide resistant isolates.
NZ_CP095166_1,140927,141748,-,linG,1-822/822,===============,0/0,100,99.88,card,DQ836009.1:1309-2131,linG is an integron-associated gene cassette with aadA2 encoding a lincosomide nucleotidyltransferase found in Salmonella enterica. linG confers resistance to lincosomide antibiotics.
NZ_CP095166_1,141880,142671,-,aadA22,1-792/792,===============,0/0,100,100,card,AM261837.1:73-865,aadA22 is an aminoglycoside nucleotidyltransferase gene encoded by plasmids and integrons in S. enterica and E. coli.
NZ_CP095166_1,147068,147928,-,AAC(3)-IId,1-861/861,===============,0/0,100,99.88,card,EU022314.1:0-861,AAC(3)-IId is a plasmid-encoded aminoglycoside acetyltransferase in E. coli.
NZ_CP095166_1,150141,150998,-,LAP-2,1-858/858,===============,0/0,100,100,card,EU159120.1:0-858,LAP-2 is an Ambler Class A beta-lactamase gene.
NZ_CP095166_1,153202,154062,-,TEM-1,1-861/861,===============,0/0,100,99.88,card,AL513383.1:161910-162771,TEM-1 is a broad-spectrum beta-lactamase found in many Gram-negative bacteria. Confers resistance to penicillins and first generation cephalosphorins.
NZ_CP095166_1,156884,157759,+,CTX-M-55,1-876/876,===============,0/0,100,100,card,DQ885477.1:0-876,CTX-M-55 is a beta-lactamase found in the Enterobacteriaceae family.
NZ_CP095166_1,162400,163056,+,QnrS1,1-657/657,===============,0/0,100,100,card,DQ485529.1:0-657,QnrS1 is a plasmid-mediated quinolone resistance protein found in Shigella flexneri.
NZ_CP095166_1,168781,170019,-,Mrx,1-1239/1239,===============,0/0,100,99.92,card,AY522923.1:8983-7744,Mrx is part of the macrolide inactivation gene cluster in Aeromonas hydrophila.
NZ_CP095166_1,170016,170921,-,mphA,1-906/906,===============,0/0,100,100,card,D16251.1:2531-1625,The mphA gene encodes for resistance enzyme MPH(2')-I which preferentially inactivate 14-membered macrolides (e.g.erythromycin telithromycin roxithromycin) over 16-membered macrolides (e.g.tylosin spiramycin). It phosphorylates macrolides at 2'-OH hydroxyl of desosamine sugar of macrolides in a GTP-dependent manner.
NZ_CP095166_1,172424,172876,-,arr-2,1-453/453,===============,0/0,100,100,card,AF078527.1:4387-4840,arr-2 is an integron-encoded ribosyltransferase found in Pseudomonas aeruginosa.
NZ_CP095166_1,172987,173460,-,dfrA14,1-474/474,===============,0/0,100,100,card,KF921535.1:617-1091,dfrA14 is an integron-encoded dihydrofolate reductase found in Escherichia coli.
NZ_CP095578_1,151784,152596,+,NDM-1,1-813/813,===============,0/0,100,100,card,FN396876.1:3219-2406,NDM-1 is a metallo-beta-lactamase isolated from Klebsiella pneumoniae with nearly complete resistance to all beta-lactam antibiotics.
NZ_CP095578_1,152600,152965,+,BRP(MBL),1-366/366,===============,0/0,100,100,card,KC503911.1:9883-10249,A novel bleomycin resistance protein encoded by a metallo-beta-lactamase-associated ble gene. Expression of BRP(MBL) confers resistance to bleomycin and bleomycin-like antibiotics in Enterobacteriaceae and Acinetobacter where it is co-expressed with an MBL and controlled by the same promoter region.
NZ_CP095578_1,155922,156761,+,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
NZ_CP095578_1,161767,162540,+,armA,1-774/774,===============,0/0,100,100,card,GU437214.1:0-774,ArmA is a 16S rRNA methyltransferase that targets mature or nearly mature 30S subunits. It transfers a methyl group from S-adenosyl-L-methionine to N7-G1405 of the 16S rRNA an aminoglycoside binding site.
NZ_CP095578_1,164839,166314,+,msrE,1-1476/1476,===============,0/0,100,100,card,EU294228.1:21241-22717,MsrE is an ABC-F subfamily protein expressed to Klebsiella pneumoniae that confers resistance to erythromycin and streptogramin B antibiotics. It is associated with plasmid DNA. It is also 100% identical to ABC-F type ribosomal protection protein Msr(E) which is in multiple species.
NZ_CP095578_1,166370,167254,+,mphE,1-885/885,===============,0/0,100,99.89,card,DQ839391.1:13757-12872,mphE is a macrolide phosphotransferase and resistance gene identified on a plasmid pRSB105.
NZ_CP095649_1,122937,123749,+,NDM-1,1-813/813,===============,0/0,100,100,card,FN396876.1:3219-2406,NDM-1 is a metallo-beta-lactamase isolated from Klebsiella pneumoniae with nearly complete resistance to all beta-lactam antibiotics.
NZ_CP095649_1,123753,124118,+,BRP(MBL),1-366/366,===============,0/0,100,100,card,KC503911.1:9883-10249,A novel bleomycin resistance protein encoded by a metallo-beta-lactamase-associated ble gene. Expression of BRP(MBL) confers resistance to bleomycin and bleomycin-like antibiotics in Enterobacteriaceae and Acinetobacter where it is co-expressed with an MBL and controlled by the same promoter region.
NZ_CP095649_1,127075,127914,+,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
NZ_CP095649_1,132920,133693,+,armA,1-774/774,===============,0/0,100,100,card,GU437214.1:0-774,ArmA is a 16S rRNA methyltransferase that targets mature or nearly mature 30S subunits. It transfers a methyl group from S-adenosyl-L-methionine to N7-G1405 of the 16S rRNA an aminoglycoside binding site.
NZ_CP095649_1,135992,137467,+,msrE,1-1476/1476,===============,0/0,100,100,card,EU294228.1:21241-22717,MsrE is an ABC-F subfamily protein expressed to Klebsiella pneumoniae that confers resistance to erythromycin and streptogramin B antibiotics. It is associated with plasmid DNA. It is also 100% identical to ABC-F type ribosomal protection protein Msr(E) which is in multiple species.
NZ_CP095649_1,137523,138407,+,mphE,1-885/885,===============,0/0,100,99.89,card,DQ839391.1:13757-12872,mphE is a macrolide phosphotransferase and resistance gene identified on a plasmid pRSB105.
NZ_CP095671_1,52531,53436,+,mphA,1-906/906,===============,0/0,100,100,card,D16251.1:2531-1625,The mphA gene encodes for resistance enzyme MPH(2')-I which preferentially inactivate 14-membered macrolides (e.g.erythromycin telithromycin roxithromycin) over 16-membered macrolides (e.g.tylosin spiramycin). It phosphorylates macrolides at 2'-OH hydroxyl of desosamine sugar of macrolides in a GTP-dependent manner.
NZ_CP095671_1,53433,54671,+,Mrx,1-1239/1239,===============,0/0,100,100,card,AY522923.1:8983-7744,Mrx is part of the macrolide inactivation gene cluster in Aeromonas hydrophila.
NZ_CP095671_1,58789,59286,+,dfrA12,1-498/498,===============,0/0,100,100,card,GU585907.1:22103-21605,dfrA12 is an integron-encoded dihydrofolate reductase found in Vibrio cholerae.
NZ_CP095671_1,59706,60485,+,aadA2,1-780/780,===============,0/0,100,99.87,card,AF156486.1:5012-5792,aadA2 is an aminoglycoside nucleotidyltransferase gene encoded by plasmids and integrons in K. pneumoniae Salmonella spp. Corynebacterium glutamicum C. freundii and Aeromonas spp.
NZ_CP095671_1,60649,60996,+,qacEdelta1,1-348/348,===============,0/0,100,99.71,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
NZ_CP095671_1,60990,61829,+,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
NZ_CP095671_1,65174,65947,+,armA,1-774/774,===============,0/0,100,100,card,GU437214.1:0-774,ArmA is a 16S rRNA methyltransferase that targets mature or nearly mature 30S subunits. It transfers a methyl group from S-adenosyl-L-methionine to N7-G1405 of the 16S rRNA an aminoglycoside binding site.
NZ_CP095671_1,68246,69721,+,msrE,1-1476/1476,===============,0/0,100,100,card,EU294228.1:21241-22717,MsrE is an ABC-F subfamily protein expressed to Klebsiella pneumoniae that confers resistance to erythromycin and streptogramin B antibiotics. It is associated with plasmid DNA. It is also 100% identical to ABC-F type ribosomal protection protein Msr(E) which is in multiple species.
NZ_CP095671_1,69777,70661,+,mphE,1-885/885,===============,0/0,100,100,card,DQ839391.1:13757-12872,mphE is a macrolide phosphotransferase and resistance gene identified on a plasmid pRSB105.
NZ_CP095671_1,72270,72914,-,QnrB4,1-645/645,===============,0/0,100,100,card,DQ303921.2:3-648,QnrB4 is a plasmid-mediated quinolone resistance protein found in Escherichia coli.
NZ_CP095671_1,77038,78177,-,DHA-1,1-1140/1140,===============,0/0,100,100,card,Y16410.1:986-2126,DHA-1 is a class C beta-lactamase found in Morganella morganii and Salmonella enterica.
NZ_CP095671_1,79754,80593,+,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
NZ_CP095671_1,83120,83706,+,AAC(6')-Ib9,26-612/612,===============,0/0,95.92,99.83,card,AF043381.1:251-863,AAC(6')-Ib9 is an integron-encoded aminoglycoside acetyltransferase in P. aeruginosa.
NZ_CP095671_1,83776,84564,+,aadA,1-792/792,========/======,1/3,99.62,99.37,card,AF550679.1:81768-80976,ANT(3'')-Ia is an aminoglycoside nucleotidyltransferase gene encoded by plasmids transposons integrons in Enterobacteriaceae A. baumannii P. aeruginosa and Vibrio cholerae.
NZ_CP095671_1,84624,85448,+,OXA-9,1-825/825,===============,0/0,100,100,card,M55547.1:0-825,OXA-9 is a beta-lactamase found in Klebsiella pneumoniae.
NZ_CP095671_1,86148,87008,+,TEM-122,1-861/861,===============,0/0,100,99.77,card,AY307100.1:0-861,TEM-122 is an inhibitor-resistant beta-lactamase found in E. coli.
NZ_CP095671_1,152207,152572,-,BRP(MBL),1-366/366,===============,0/0,100,100,card,KC503911.1:9883-10249,A novel bleomycin resistance protein encoded by a metallo-beta-lactamase-associated ble gene. Expression of BRP(MBL) confers resistance to bleomycin and bleomycin-like antibiotics in Enterobacteriaceae and Acinetobacter where it is co-expressed with an MBL and controlled by the same promoter region.
NZ_CP095671_1,152576,153388,-,NDM-1,1-813/813,===============,0/0,100,100,card,FN396876.1:3219-2406,NDM-1 is a metallo-beta-lactamase isolated from Klebsiella pneumoniae with nearly complete resistance to all beta-lactam antibiotics.
NZ_CP095671_1,162100,162975,-,CTX-M-15,1-876/876,===============,0/0,100,100,card,AY044436.1:1435-2311,CTX-M-15 is a beta-lactamase found in the Enterobacteriaceae family.
NZ_CP095674_1,54234,55073,-,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
NZ_CP095674_1,55067,55412,-,qacEdelta1,1-348/348,========/======,4/4,99.14,98.57,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
NZ_CP095674_1,55576,56355,-,aadA2,1-780/780,===============,0/0,100,99.87,card,AF156486.1:5012-5792,aadA2 is an aminoglycoside nucleotidyltransferase gene encoded by plasmids and integrons in K. pneumoniae Salmonella spp. Corynebacterium glutamicum C. freundii and Aeromonas spp.
NZ_CP095674_1,56775,57272,-,dfrA12,1-498/498,===============,0/0,100,100,card,GU585907.1:22103-21605,dfrA12 is an integron-encoded dihydrofolate reductase found in Vibrio cholerae.
NZ_CP095674_1,62825,63685,+,TEM-122,1-861/861,===============,0/0,100,99.77,card,AY307100.1:0-861,TEM-122 is an inhibitor-resistant beta-lactamase found in E. coli.
NZ_CP095674_1,128884,129249,-,BRP(MBL),1-366/366,===============,0/0,100,100,card,KC503911.1:9883-10249,A novel bleomycin resistance protein encoded by a metallo-beta-lactamase-associated ble gene. Expression of BRP(MBL) confers resistance to bleomycin and bleomycin-like antibiotics in Enterobacteriaceae and Acinetobacter where it is co-expressed with an MBL and controlled by the same promoter region.
NZ_CP095674_1,129253,130067,-,NDM-1,1-813/813,========/======,1/2,100,99.75,card,FN396876.1:3219-2406,NDM-1 is a metallo-beta-lactamase isolated from Klebsiella pneumoniae with nearly complete resistance to all beta-lactam antibiotics.
NZ_CP095674_1,138775,139650,-,CTX-M-15,1-876/876,===============,0/0,100,100,card,AY044436.1:1435-2311,CTX-M-15 is a beta-lactamase found in the Enterobacteriaceae family.
NZ_CP096850_1,11152,12771,-,MCR-9.1,1-1620/1620,===============,0/0,100,100,card,NC_021819.1:16013-17633,A mobilized and plasmid-mediated colistin resistance gene and phosphoethanolamine transferase identified from a Salmonella enterica isolate.
NZ_CP096850_1,345198,345731,+,ANT(2'')-Ia,1-534/534,===============,0/0,100,100,card,AF078527.1:3769-4303,Plasmid or integron-encoded nucleotidylylation of 2-deoxystreptamine aminoglycosides at the hydroxyl group at position 2'' in P. aeruginosa K. pneumoniae Morganella morganii E. coli S. typhimurium C. freundii and A. baumannii.
NZ_CP096850_1,345801,346580,+,aadA2,1-780/780,===============,0/0,100,100,card,AF156486.1:5012-5792,aadA2 is an aminoglycoside nucleotidyltransferase gene encoded by plasmids and integrons in K. pneumoniae Salmonella spp. Corynebacterium glutamicum C. freundii and Aeromonas spp.
NZ_CP096850_1,346744,347091,+,qacEdelta1,1-348/348,===============,0/0,100,100,card,U49101.1:1490-1838,QacEdelta1 is a resistance gene conferring resistance to antiseptics. It is different from QacE only at the 3'-terminus.
NZ_CP096850_1,347085,347924,+,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
NZ_CP096850_1,350134,350790,+,QnrA1,1-657/657,===============,0/0,100,99.85,card,DQ831141.1:8921-9578,QnrA1 is a plasmid-mediated quinolone resistance protein found in Klebsiella pneumoniae.
NZ_CP096850_1,352442,353281,+,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
NZ_CP097229_1,86047,86412,-,BRP(MBL),1-366/366,===============,0/0,100,100,card,KC503911.1:9883-10249,A novel bleomycin resistance protein encoded by a metallo-beta-lactamase-associated ble gene. Expression of BRP(MBL) confers resistance to bleomycin and bleomycin-like antibiotics in Enterobacteriaceae and Acinetobacter where it is co-expressed with an MBL and controlled by the same promoter region.
NZ_CP097229_1,86416,87228,-,NDM-1,1-813/813,===============,0/0,100,100,card,FN396876.1:3219-2406,NDM-1 is a metallo-beta-lactamase isolated from Klebsiella pneumoniae with nearly complete resistance to all beta-lactam antibiotics.
NZ_CP097229_1,89661,90440,-,APH(3')-VIa,1-780/780,===============,0/0,100,98.46,card,X07753.1:102-882,APH(3')-VIa is a plasmid-encoded aminoglycoside phosphotransferase in A. baumannii.
NZ_CP097229_1,95748,96632,-,mphE,1-885/885,===============,0/0,100,99.89,card,DQ839391.1:13757-12872,mphE is a macrolide phosphotransferase and resistance gene identified on a plasmid pRSB105.
NZ_CP097229_1,96688,98163,-,msrE,1-1476/1476,===============,0/0,100,100,card,EU294228.1:21241-22717,MsrE is an ABC-F subfamily protein expressed to Klebsiella pneumoniae that confers resistance to erythromycin and streptogramin B antibiotics. It is associated with plasmid DNA. It is also 100% identical to ABC-F type ribosomal protection protein Msr(E) which is in multiple species.
NZ_CP097229_1,100462,101235,-,armA,1-774/774,===============,0/0,100,100,card,GU437214.1:0-774,ArmA is a 16S rRNA methyltransferase that targets mature or nearly mature 30S subunits. It transfers a methyl group from S-adenosyl-L-methionine to N7-G1405 of the 16S rRNA an aminoglycoside binding site.
NZ_CP097229_1,104580,105419,-,sul1,1-840/840,===============,0/0,100,100,card,JF969163.1:1053-1893,Sul1 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria. It is linked to other resistance genes of class 1 integrons.
